kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_impact,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_teq,koi_insol,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smet,koi_sage,koi_snr,koi_fittype,ra,dec,koi_kepmag
5505969,K01415.01,Unknown,FP,0.028,0,1,0,1,183.92178,0.0609376,-0.1674457,257.36543,0.102,7.7387,0.38693,-0.38693,155.99,12.48,-12.48,12.212,0.689,-2.1516,0.65791,1224.1,57.694,5343.6,,-211.0,4.0646,0.0411,-0.1104,1.2509,0.06254,,1.3082,0.1268,5.029,5.45,LS+MCMC,290.431783,47.983893,11.416
2134519,K01751.01,Unknown,fp,0.394,1,1,0,0,2.03517,0.0017402,-0.0001938,412.33033,0.512,8.4898,0.42449,-0.42449,346.67,27.73,-27.73,4.983,,-0.6016,,,24.36,4864.8,103.9,-259.6,4.5066,0.0144,-0.0375,1.1169,0.05585,-0.05585,1.0145,,4.247,37.16,LS+MCMC,302.087747,51.432921,13.439
3531542,K00719.01,Kepler-719 b,confirm,0.782,0,0,0,0,31.18755,0.0017554,-0.0192266,375.01796,0.504,4.2398,0.21199,-0.21199,6472.7,517.82,-517.82,,1.0724,-1.0397,0.16581,533.5,1233.089,5919.4,267.7,-185.3,4.2639,0.096,,0.7784,0.03892,-0.03892,0.7454,-0.2967,5.575,44.7,N/A,297.932324,50.965355,11.995
5223703,K01204.01,Kepler-1204 b,confirm,0.927,0,0,0,0,3.7079,0.0015436,-0.0025258,377.37032,0.394,7.0583,0.35291,,276.73,22.14,-22.14,0.968,0.0771,-0.0891,0.05348,493.8,16.536,4586.6,79.1,-281.9,4.4338,0.0314,-0.1213,1.4763,0.07382,-0.07382,1.3614,0.0905,5.184,23.51,ls,286.539618,40.905963,11.226
7998073,K00305.01,nan,false_positive,3.475,1,0,0,0,37.91229,0.031285,-0.036109,162.73348,,2.9785,,-0.14892,592.62,47.41,-47.41,7.773,1.5137,-0.8094,0.20147,843.2,1.877,5511.2,247.8,-209.6,4.6375,0.0336,-0.0214,0.8425,0.04213,-0.04213,0.8916,-0.3446,8.635,unknown,Unknown,287.147538,45.198533,12.88
1077385,K00781.01,,FALSE POSITIVE,0.101,0,1,0,0,47.7915,,-0.0369153,483.06259,0.736,14.8392,0.74196,-0.74196,146.12,11.69,-11.69,3.007,0.582,-0.3782,,2447.9,0.438,4524.9,160.8,-126.4,4.2202,0.1251,-0.07,1.1294,0.05647,-0.05647,1.1348,0.1499,5.711,37.17,ls+mcmc,286.442342,43.652546,11.029
9864429,K01130.01,Kepler-1130 b,confirm,0.758,0,0,0,0,12.46377,0.003383,-0.000981,320.53502,0.617,3.2731,0.16366,-0.16366,672.55,53.8,,3.96,0.7749,-0.7884,0.11426,1617.1,2.287,5756.8,159.6,-167.7,4.1234,,-0.1055,0.7792,0.03896,-0.03896,0.8616,,,21.21,MCMC,289.003327,47.587201,13.708
5050762,K00866.01,nan,false positive,0.046,1,0,1,1,4.89061,0.002183,-0.0046178,279.73442,0.083,3.4198,0.17099,-0.17099,718.92,57.51,,4.619,0.3426,-0.646,0.05363,1402.2,2.207,6118.8,54.8,-69.6,4.506,0.0467,-0.0198,1.0509,0.05255,-0.05255,1.0453,,,4.12,ls+mcmc,290.586533,47.447862,10.879
3520110,K00859.01,Unknown,FALSE POSITIVE,,1,0,1,1,,0.0375084,-0.0717906,314.42254,0.178,3.8971,,,183.38,14.67,-14.67,1.305,0.2436,-0.0896,0.59018,706.1,243.026,5154.9,148.8,-283.2,4.7622,0.1386,-0.0752,1.1615,0.05808,-0.05808,1.0833,,5.57,,ls+mcmc,293.518002,39.88167,13.328
2370820,K01545.01,,cand,0.736,0,0,0,0,0.5,0.0004332,,382.25837,0.004,2.5449,0.12724,-0.12724,401.1,32.09,-32.09,0.593,0.0859,,0.0126,1975.3,79.149,5947.2,165.9,-195.7,4.5444,,-0.1294,1.7241,0.0862,,1.5599,0.1338,11.366,10.89,--,282.061507,49.367029,14.025
1600461,K01917.01,Unknown,CAND,0.447,0,0,0,0,22.15021,0.010765,-0.0067119,152.50488,0.841,15.0,0.75,-0.75,302.96,24.24,-24.24,2.179,0.2771,-0.1437,0.14884,362.8,12.939,4783.9,299.3,-285.7,4.6265,0.0693,-0.1354,0.8141,0.0407,-0.0407,0.8226,0.0904,5.494,35.54,LS+MCMC,282.752291,47.612611,12.681
5046941,K00818.01,nan,FALSE POSITIVE,0.071,1,1,0,0,2.83522,0.001937,-0.0017292,288.48933,0.716,7.3343,0.36671,,347.19,27.78,-27.78,2.978,0.5536,-0.5852,0.03625,2331.3,10.694,5693.8,190.0,-268.5,5.0,0.0963,-0.0912,1.7365,0.08682,-0.08682,1.5399,-0.06,11.064,27.53,LS,304.931824,50.193035,12.73
2714145,K00948.01,,candidate,0.576,0,0,0,0,,0.030429,-0.0209845,412.1353,0.1,1.8432,0.09216,-0.09216,345.32,27.63,-27.63,1.567,0.1795,-0.1425,0.21287,1603.2,4.914,6096.4,,-259.5,4.073,0.0909,-0.0642,1.435,,-0.07175,1.4943,0.0591,2.015,20.52,LS,289.104529,43.292989,14.255
9545778,K01704.01,Unknown,fp,0.394,1,0,0,1,117.87136,0.0396391,-0.051729,103.83308,0.934,6.5617,0.32809,-0.32809,133.7,10.7,-10.7,1.458,0.1472,-0.1245,0.53023,2194.3,9.694,4773.7,147.7,-194.1,4.0787,0.1135,-0.1069,1.443,0.07215,-0.07215,1.371,0.5611,1.76,9.58,ls+mcmc,282.298462,44.090262,11.745
1100460,K01040.01,Kepler-1040 b,confirmed,0.974,0,0,0,0,1.52382,0.0009602,-0.0003576,225.02989,0.29,15.0,0.75,,2290.5,183.24,-183.24,1.161,0.1661,-0.1228,0.02707,324.1,77.161,,189.5,-136.8,4.4364,0.0367,-0.0315,0.8843,0.04421,-0.04421,0.8279,,1.611,130.84,mcmc,288.048879,51.386983,10.527
3183932,K01402.01,Kepler-1402 b,CONFIRMED,0.879,0,0,0,0,21.89996,0.019588,,244.49988,0.596,,0.60779,-0.60779,3416.35,273.31,-273.31,1.023,0.0928,-0.0768,0.13678,434.8,67.662,5152.5,247.2,-207.3,4.5896,0.0664,-0.0862,1.1785,0.05893,-0.05893,1.1441,,,15.89,LS,292.612588,38.026609,12.979
6692842,K01681.01,Kepler-1681 b,CONFIRM,0.806,0,0,0,0,50.45202,0.0365139,-0.0299969,439.4948,0.065,14.1839,0.7092,,344.14,27.53,-27.53,7.852,0.8041,-0.4257,0.29827,1704.1,,5940.8,226.7,-176.0,4.3936,0.0846,-0.0883,1.1858,0.05929,-0.05929,1.1234,-0.1009,,74.45,MCMC,292.208155,36.269879,12.613
6549193,K01502.01,nan,FP,0.36,0,0,1,1,-11.57247,0.0094327,-0.0040596,429.06138,0.753,6.526,0.3263,-0.3263,161.7,12.94,-12.94,3.795,0.2396,-0.245,0.09761,780.2,113.172,5510.9,131.8,-298.0,4.2179,0.0149,-0.014,0.7216,0.03608,-0.03608,0.7507,-0.1021,9.517,6.5,LS,301.243047,43.1714,?
8376218,K01436.01,Kepler-1436 b,CONFIRMED,0.971,0,0,0,0,0.73647,1.76e-05,,,0.196,6.5634,0.32817,-0.32817,1812.39,144.99,-144.99,3.684,,-0.1853,0.01442,?,4.109,5596.3,238.6,,4.7672,0.0591,-0.0201,1.3995,0.06997,-0.06997,1.3903,0.1707,3.606,12.65,ls,280.497263,46.270689,14.03
3660128,K00262.01,Unknown,Candidate,0.317,0,0,0,0,1.26028,0.0007227,-0.0009123,480.38727,,5.2136,0.26068,-0.26068,492.81,39.42,-39.42,12.596,2.5067,-2.1207,0.02391,2033.6,17.454,5275.4,196.0,-280.7,4.4838,0.0194,-0.1262,1.8828,0.09414,-0.09414,,-0.1795,9.579,11.41,LS+MCMC,302.002313,,11.687
